date,province,infected,day
2020-03-20,کرمانشاه,5,20
2020-03-20,کهگیلویه و بویراحمد,1,20
2020-03-20,گلستان,15,20
2020-03-20,گیلان,99,20
2020-03-20,یزد,49,20
2020-03-21,آذربایجان غربی,14,21
2020-03-21,اردبیل,6,21
2020-03-21,اصفهان,101,21
2020-03-21,البرز,55,21
2020-03-21,ایلام,18,21
2020-03-21,بوشهر,0,21
2020-03-21,تهران,232,21
2020-03-21,خراسان جنوبی,0,21
2020-03-21,خراسان رضوی,57,21
2020-03-21,خراسان شمالی,1,21
2020-03-21,خوزستان,31,21
2020-03-21,زنجان,35,21
2020-03-21,سمنان,0,21
2020-03-21,سیستان و بلوچستان,5,21
2020-03-21,فارس,22,21
2020-03-21,قزوین,59,21
2020-03-21,قم,20,21
2020-03-21,لرستان,34,21
2020-03-21,مازندران,28,21
2020-03-21,مرکزی,0,21
2020-03-21,هرمزگان,0,21
2020-03-21,همدان,27,21
2020-03-21,چهارمحال و بختیاری,2,21
2020-03-21,کردستان,7,21
2020-03-21,کرمان,8,21
2020-03-21,کرمانشاه,5,21
2020-03-21,کهگیلویه و بویراحمد,12,21
2020-03-21,گلستان,6,21
2020-03-21,گیلان,57,21
2020-03-21,یزد,52,21
2020-03-22,آذربایجان غربی,28,22
2020-03-22,اردبیل,19,22
2020-03-22,اصفهان,87,22
2020-03-22,البرز,60,22
2020-03-22,ایلام,17,22
2020-03-22,بوشهر,0,22
2020-03-22,تهران,249,22
2020-03-22,خراسان جنوبی,15,22
2020-03-22,خراسان رضوی,42,22
2020-03-22,خراسان شمالی,26,22
2020-03-22,خوزستان,22,22
2020-03-22,زنجان,28,22
2020-03-22,سمنان,0,22
2020-03-22,سیستان و بلوچستان,15,22
2020-03-22,فارس,26,22
2020-03-22,قزوین,29,22
2020-03-22,قم,17,22
2020-03-22,لرستان,33,22
2020-03-22,مازندران,36,22
2020-03-22,مرکزی,36,22
2020-03-22,هرمزگان,2,22
2020-03-22,همدان,19,22
2020-03-22,چهارمحال و بختیاری,2,22
2020-03-22,کردستان,16,22
2020-03-22,کرمان,8,22
2020-03-22,کرمانشاه,7,22
2020-03-22,کهگیلویه و بویراحمد,0,22
2020-03-22,گلستان,10,22
2020-03-22,گیلان,38,22
2020-03-22,یزد,84,22
