character_1,character_2,relationship
مریم دختر قیصر,خسرو پرویز,همسر
گنجور زن قیصر,شاپور هوبه سنبا,همسر
دختر بابک,اردشیر بابکان,همسر
شاپور اردشیر,دختر مهرک,همسر
سام,نگاری (سام),همسر
زن پرمایه,کسرا انوشیروان,همسر
آزاده ماهیار,بهرام گور,همسر
فرنگیس,سیاوش,همسر
گردیه,خسرو پرویز,همسر
, گردوی,همسر
گردیه,گستهم دایی خسرو پرویز,همسر
قیدروش,دختر فریان,همسر
سپینود,بهرام گور,همسر
برزین دهقان,,همسر
همای اسفندیار,اسفندیار,خواهربرادری
به آفرید,اسفندیار,خواهربرادری
گردیه,بهرام چوبیه,خواهربرادری
گردیه,گردوی (چوبینه),خواهربرادری
رستم,زواره,خواهربرادری
کهرم برادر ارجاسب,ارجاسب,خواهربرادری
شغاد,رستم,خواهربرادری
مای طلخند,جمهور,خواهربرادری
گو سندلی,طلخند,خواهربرادری
بارمان پسر ویسه,پیران ویسه,خواهربرادری
قباد پهلوان,قارن کاوه,خواهربرادری
کیانوش (برادر آفریدون),فریدون,خواهربرادری
پرمایه (برادر آفریدون),فریدون,خواهربرادری
گرسیوز,افراسیاب تورانی,خواهربرادری
پیلسم,پیران ویسه,خواهربرادری
لهاک,پیران ویسه,خواهربرادری
فرشیدورد,پیران ویسه,خواهربرادری
نستیهن,پیران ویسه,خواهربرادری
اردشیر نیکوکار,شاپور هوبه سنبا,خواهربرادری
ایرج,تور,خواهربرادری
تور,سلم,خواهربرادری
سلم,ایرج,خواهربرادری
کیانوش (برادر آفریدون),پرمایه (برادر آفریدون),خواهربرادری
یزدگرد بزه کار,بهرام شاپور,خواهربرادری
نرسی برادر بهرام گور,بهرام گور,خواهربرادری
برادر شنگل,شنگل (بهرام گور),خواهربرادری
مای طلخند,جمهور,خواهربرادری
نیاتوس,مریم دختر قیصر,خواهربرادری
پیروز (شاه),هرمز پسر یزدگرد,خواهربرادری
اندریمان (برادر ارجاسب),ارجاسب,خواهربرادری
بلاش,قباد پیروز,خواهربرادری
یانس,قیصر (شاپور),خواهربرادری
فرشیدورد (برادر اسفندیار),اسفندیار,خواهربرادری
هومان,پیران ویسه,خواهربرادری
گستهم دایی خسرو پرویز,هرمز پسر نوشین روان,کشنده
رستم,اسفندیار,کشنده
رستم,اشکبوس,کشنده
رستم,دیو سپید,کشنده
رستم,شاه مازندران,کشنده
رستم,سودابه,کشنده
فرود,زرسپ طوس,کشنده
رستم,سهراب,کشنده
گروی,سیاوش,کشنده
بیژن,هومان,کشنده
بیژن,پلاشان,کشنده
بیژن,رویین,کشنده
رهام,فرود,کشنده
سام,کاکوی,کشنده
فریبرز,کلباد,کشنده
پور آهرمن,سیامک,کشنده
گستهم نوذر,فرشیدورد,کشنده
گستهم نوذر,لهاک,کشنده
افراسیاب تورانی,نوذر,کشنده
توس,ارژنگ زره,کشنده
فرامرز,ورازاد,کشنده
روزبانان (سرخه),سرخه,کشنده
رستم,پیلسم,کشنده
منوچهر,کاکوی,کشنده
رستم,الکوس,کشنده
گودرز,پیران ویسه,کشنده
شیرین,شیرین,کشنده
بهرام گودرز,کبوده,کشنده
تژاو,بهرام گودرز,کشنده
گیو,تژاو,کشنده
رستم,چنگش,کشنده
رستم,ساوه کاموس,کشنده
رستم,کافور,کشنده
بیژن,نستیهن,کشنده
برته,کهرم افراسیاب,کشنده
گرگین,اندریمان,کشنده
زنگه,اخواست,کشنده
هجیر,سپهرم,کشنده
فروهل,ژنگوله,کشنده
افراسیاب تورانی,اغریرث,کشنده
کی خسرو,شیده,کشنده
منوچهر آرش,کهیلا,کشنده
